| dfs.datanode.BlockChecksumOpAvgTime | datanode   |
| jvm.JvmMetrics.MemMaxM | datanode   |
| jvm.JvmMetrics.MemNonHeapCommittedM | datanode   |
| jvm.JvmMetrics.MemNonHeapMaxM | datanode   |
| jvm.JvmMetrics.MemNonHeapUsedM | datanode   |
| jvm.JvmMetrics.ThreadsBlocked | datanode   |
| jvm.JvmMetrics.ThreadsNew | datanode   |
| jvm.JvmMetrics.ThreadsRunnable | datanode   |
| jvm.JvmMetrics.ThreadsTerminated | datanode   |
| jvm.JvmMetrics.ThreadsTimedWaiting | datanode   |
| jvm.JvmMetrics.ThreadsWaiting | datanode   |
| metricssystem.MetricsSystem.DroppedPubAll | datanode   |
| metricssystem.MetricsSystem.NumActiveSinks | datanode   |
| metricssystem.MetricsSystem.NumActiveSources | datanode   |
| metricssystem.MetricsSystem.NumAllSinks | datanode   |
| metricssystem.MetricsSystem.NumAllSources | datanode   |
| metricssystem.MetricsSystem.PublishAvgTime | datanode   |
| metricssystem.MetricsSystem.PublishNumOps | datanode   |
| metricssystem.MetricsSystem.Sink_timelineAvgTime | datanode   |
| metricssystem.MetricsSystem.Sink_timelineDropped | datanode   |
| metricssystem.MetricsSystem.Sink_timelineNumOps | datanode   |
| metricssystem.MetricsSystem.Sink_timelineQsize | datanode   |
| metricssystem.MetricsSystem.SnapshotAvgTime | datanode   |
| metricssystem.MetricsSystem.SnapshotNumOps | datanode   |
| rpc.rpc.CallQueueLength | datanode   |
| rpc.rpc.NumOpenConnections | datanode   |
| rpc.rpc.ReceivedBytes | datanode   |
| rpc.rpc.RpcAuthenticationFailures | datanode   |
| rpc.rpc.RpcAuthenticationSuccesses | datanode   |
| rpc.rpc.RpcAuthorizationFailures | datanode   |
| rpc.rpc.RpcAuthorizationSuccesses | datanode   |
| rpc.rpc.RpcProcessingTimeAvgTime | datanode   |
| rpc.rpc.RpcProcessingTimeNumOps | datanode   |
| rpc.rpc.RpcQueueTimeAvgTime | datanode   |
| rpc.rpc.RpcQueueTimeNumOps | datanode   |
| rpc.rpc.SentBytes | datanode   |
| rpcdetailed.rpcdetailed.InitReplicaRecoveryAvgTime | datanode   |
| rpcdetailed.rpcdetailed.InitReplicaRecoveryNumOps | datanode   |
| rpcdetailed.rpcdetailed.UpdateReplicaUnderRecoveryAvgTime | datanode   |
| rpcdetailed.rpcdetailed.UpdateReplicaUnderRecoveryNumOps | datanode   |
| ugi.UgiMetrics.GetGroupsAvgTime | datanode   |
| ugi.UgiMetrics.GetGroupsNumOps | datanode   |
| ugi.UgiMetrics.LoginFailureAvgTime | datanode   |
| ugi.UgiMetrics.LoginFailureNumOps | datanode   |
| ugi.UgiMetrics.LoginSuccessAvgTime | datanode   |
| ugi.UgiMetrics.LoginSuccessNumOps | datanode   |
